date,ward_id,population,pipe_age_years,supply_hours,pressure,demand,supply,complaints,pipe_breaks,tanker,scarcity,supply_hours_7day_avg,complaints_7day_avg,pipe_breaks_7day_avg,demand_supply_gap,supply_ratio
01/01/2024,W01,142000,28,11,36.4,19.61,17.98,1.49,1,16,0,11,1.49,1,1.63,0.916879143
02/01/2024,W01,142000,28,6.8,35.1,20.17,11.43,4.95,1,89,1,8.9,3.22,1,8.74,0.566683193
03/01/2024,W01,142000,28,9.8,33.9,19.82,16.19,2.09,3,36,0,9.2,2.843333333,1.666666667,3.63,0.816851665
04/01/2024,W01,142000,28,11.4,37,19.72,18.73,0.64,1,9,0,9.75,2.2925,1.5,0.99,0.94979716
05/01/2024,W01,142000,28,8.3,39.9,20.67,14.3,7.3,0,63,1,9.46,3.294,1.2,6.37,0.691823899
06/01/2024,W01,142000,28,10.8,38,17.92,16.13,1.1,4,19,0,9.683333333,2.928333333,1.666666667,1.79,0.900111607
07/01/2024,W01,142000,28,12.2,37.3,19.5,19.82,0.03,0,0,0,10.04285714,2.514285714,1.428571429,-0.32,1.016410256
08/01/2024,W01,142000,28,9.5,39.5,17.6,13.93,3.05,4,37,0,9.828571429,2.737142857,1.857142857,3.67,0.791477273
09/01/2024,W01,142000,28,7.9,39.4,18.14,11.94,3.51,0,62,1,9.985714286,2.531428571,1.714285714,6.2,0.658213892
10/01/2024,W01,142000,28,12.6,35.5,19.69,20.67,0.98,0,0,0,10.38571429,2.372857143,1.285714286,-0.98,1.049771458
11/01/2024,W01,142000,28,7.9,39.3,19.38,12.76,3.69,1,68,1,9.885714286,2.808571429,1.285714286,6.62,0.658410733
12/01/2024,W01,142000,28,10.3,38.6,17.37,14.91,1.41,2,24,0,10.17142857,1.967142857,1.571428571,2.46,0.858376511
13/01/2024,W01,142000,28,8,41.6,19.01,12.67,3.85,0,64,1,9.771428571,2.36,1,6.34,0.66649132
14/01/2024,W01,142000,28,9,36.7,19.22,14.41,5.42,0,50,0,9.314285714,3.13,1,4.81,0.749739854
15/01/2024,W01,142000,28,10.2,37,19.62,16.68,2.82,0,29,0,9.414285714,3.097142857,0.428571429,2.94,0.850152905
16/01/2024,W01,142000,28,10.3,35,19.17,16.45,2.67,2,27,0,9.757142857,2.977142857,0.714285714,2.72,0.858111633
17/01/2024,W01,142000,28,12.2,42.2,20.68,21.02,0.71,0,0,0,9.7,2.938571429,0.714285714,-0.34,1.016441006
18/01/2024,W01,142000,28,8.1,41.9,18.56,12.53,4.84,1,60,1,9.728571429,3.102857143,0.714285714,6.03,0.675107759
19/01/2024,W01,142000,28,8.9,42.9,18.01,13.36,2.63,0,48,0,9.528571429,3.277142857,0.428571429,4.65,0.741810105
20/01/2024,W01,142000,28,9.1,38.1,18.83,14.28,3.4,3,47,0,9.685714286,3.212857143,0.857142857,4.55,0.758364312
21/01/2024,W01,142000,28,10.5,35.2,17.93,15.69,1.57,1,23,0,9.9,2.662857143,1,2.24,0.875069716
22/01/2024,W01,142000,28,9.8,32.4,17.96,14.67,4.26,1,33,0,9.842857143,2.868571429,1.142857143,3.29,0.816815145
23/01/2024,W01,142000,28,9.6,39.9,21,16.8,3.88,0,42,0,9.742857143,3.041428571,0.857142857,4.2,0.8
24/01/2024,W01,142000,28,6.8,35.3,20.76,11.76,4.49,1,91,1,8.971428571,3.581428571,1,9,0.566473988
25/01/2024,W01,142000,28,8.6,42.3,17.59,12.61,3.38,0,50,0,9.042857143,3.372857143,0.857142857,4.98,0.716884594
26/01/2024,W01,142000,28,10.1,39.3,20.98,17.66,1.76,4,34,0,9.214285714,3.248571429,1.428571429,3.32,0.841754051
27/01/2024,W01,142000,28,8,38.7,17.29,11.53,3.61,3,57,1,9.057142857,3.278571429,1.428571429,5.76,0.666859456
28/01/2024,W01,142000,28,11.5,44.6,19.87,19.04,1.05,2,8,0,9.2,3.204285714,1.571428571,0.83,0.958228485
29/01/2024,W01,142000,28,8.3,49.3,18.04,12.48,4.89,0,56,1,8.985714286,3.294285714,1.428571429,5.56,0.691796009
30/01/2024,W01,142000,28,9.8,39.9,19.73,16.11,2.57,1,37,0,9.014285714,3.107142857,1.571428571,3.62,0.816523061
31/01/2024,W01,142000,28,8.2,42.6,18.15,12.4,3.63,2,59,1,9.214285714,2.984285714,1.714285714,5.75,0.683195592
01/02/2024,W01,142000,28,11.5,38.5,20.59,19.73,3.03,1,10,0,9.628571429,2.934285714,1.857142857,0.86,0.958232152
02/02/2024,W01,142000,28,8.5,44.8,18,12.75,5.13,2,52,0,9.4,3.415714286,1.571428571,5.25,0.708333333
03/02/2024,W01,142000,28,6.9,45.2,18.41,10.59,5.59,1,79,1,9.242857143,3.698571429,1.285714286,7.82,0.575230853
04/02/2024,W01,142000,28,10.6,46,19.5,17.22,1.24,0,22,0,9.114285714,3.725714286,1,2.28,0.883076923
05/02/2024,W01,142000,28,7,48.4,19.79,11.54,4.09,1,82,1,8.928571429,3.611428571,1.142857143,8.25,0.583122789
06/02/2024,W01,142000,28,6.8,53.2,19.76,11.2,4.36,1,85,1,8.5,3.867142857,1.142857143,8.56,0.566801619
07/02/2024,W01,142000,28,8.4,37,20.46,14.32,5.35,1,61,1,8.528571429,4.112857143,1,6.14,0.699902248
08/02/2024,W01,142000,28,9.6,38.8,20.79,16.63,2.12,3,43,0,8.257142857,3.982857143,1.285714286,4.16,0.7999038
09/02/2024,W01,142000,28,12.7,40.1,18.01,19.06,0,1,0,0,8.857142857,3.25,1.142857143,-1.05,1.058300944
10/02/2024,W01,142000,28,10.6,41.8,18.15,16.03,1.57,4,23,0,9.385714286,2.675714286,1.571428571,2.12,0.883195592
11/02/2024,W01,142000,28,8.3,32.9,17.5,12.1,5.68,0,54,1,9.057142857,3.31,1.571428571,5.4,0.691428571
12/02/2024,W01,142000,28,8.7,48.2,19.92,14.44,5.01,0,55,0,9.3,3.441428571,1.428571429,5.48,0.724899598
13/02/2024,W01,142000,28,9,43.9,17.91,13.43,2.58,1,44,0,9.614285714,3.187142857,1.428571429,4.48,0.749860413
14/02/2024,W01,142000,28,7.8,47.6,18.51,12.03,3.44,1,66,1,9.528571429,2.914285714,1.428571429,6.48,0.649918963
15/02/2024,W01,142000,28,10.4,39.4,18.86,16.35,1.95,2,27,0,9.642857143,2.89,1.285714286,2.51,0.866914104
16/02/2024,W01,142000,28,7.7,34.6,20.1,12.9,3.84,0,74,1,8.928571429,3.438571429,1.142857143,7.2,0.641791045
17/02/2024,W01,142000,28,8.1,45,20.36,13.74,7.22,1,66,1,8.571428571,4.245714286,0.714285714,6.62,0.674852652
18/02/2024,W01,142000,28,6.4,39.8,21.04,11.22,5.56,1,100,1,8.3,4.228571429,0.857142857,9.82,0.533269962
19/02/2024,W01,142000,28,9,36.9,20.81,15.61,4.66,1,52,0,8.342857143,4.178571429,1,5.2,0.750120135
20/02/2024,W01,142000,28,10.7,46.9,19.42,17.32,1.87,1,22,0,8.585714286,4.077142857,1,2.1,0.891864058
21/02/2024,W01,142000,28,7.6,40.9,19.89,12.6,4.74,0,72,1,8.557142857,4.262857143,0.857142857,7.29,0.633484163
22/02/2024,W01,142000,28,10.5,32.2,18.26,15.98,9.21,2,23,0,8.571428571,5.3,0.857142857,2.28,0.875136911
23/02/2024,W01,142000,28,8.9,33,19.02,14.11,2.61,1,51,0,8.742857143,5.124285714,1,4.91,0.741850683
24/02/2024,W01,142000,28,8.7,45.5,18.21,13.2,3.83,0,52,0,8.828571429,4.64,0.857142857,5.01,0.724876442
25/02/2024,W01,142000,28,6.6,33.8,20.46,11.25,5.59,0,92,1,8.857142857,4.644285714,0.714285714,9.21,0.549853372
26/02/2024,W01,142000,28,9.4,28.5,19.04,14.91,3.7,0,42,0,8.914285714,4.507142857,0.571428571,4.13,0.783088235
27/02/2024,W01,142000,28,7.7,32.4,20.67,13.26,4.17,1,76,1,8.485714286,4.835714286,0.571428571,7.41,0.641509434
28/02/2024,W01,142000,28,8.9,46.3,20.98,15.56,3.95,1,56,0,8.671428571,4.722857143,0.714285714,5.42,0.741658723
29/02/2024,W01,142000,28,8.9,36.9,17.42,12.92,2.56,0,45,0,8.442857143,3.772857143,0.428571429,4.5,0.741676234
01/03/2024,W01,142000,28,11.6,41.3,21,20.3,1.56,1,7,0,8.828571429,3.622857143,0.428571429,0.7,0.966666667
02/03/2024,W01,142000,28,11.3,39.5,19.47,18.33,1.78,2,13,0,9.2,3.33,0.714285714,1.14,0.941448382
03/03/2024,W01,142000,28,7.7,36.1,17.97,11.53,3.85,1,64,1,9.357142857,3.081428571,0.857142857,6.44,0.64162493
04/03/2024,W01,142000,28,7,51,20.08,11.71,4.32,0,84,1,9.014285714,3.17,0.857142857,8.37,0.583167331
05/03/2024,W01,142000,28,7.6,34.3,18.33,11.61,7.13,2,69,1,9,3.592857143,1,6.72,0.633387889
06/03/2024,W01,142000,28,8.9,35.4,17.29,12.82,2.99,0,44,0,9,3.455714286,0.857142857,4.47,0.741469057
07/03/2024,W01,142000,28,6.5,37.4,17.56,9.51,4.73,2,82,1,8.657142857,3.765714286,1.142857143,8.05,0.541571754
08/03/2024,W01,142000,28,9.7,37.6,17.33,14.01,4.45,1,34,0,8.385714286,4.178571429,1.142857143,3.32,0.808424697
09/03/2024,W01,142000,28,7.9,44.8,20.22,13.31,3.35,0,70,1,7.9,4.402857143,0.857142857,6.91,0.658259149
10/03/2024,W01,142000,28,9.5,38.7,20.11,15.92,2.06,0,43,0,8.157142857,4.147142857,0.714285714,4.19,0.791645947
11/03/2024,W01,142000,28,10,37.3,19.19,15.99,2.27,0,32,0,8.585714286,3.854285714,0.714285714,3.2,0.833246483
12/03/2024,W01,142000,28,6,33.2,18.66,9.33,6.38,0,93,1,8.357142857,3.747142857,0.428571429,9.33,0.5
13/03/2024,W01,142000,28,7.2,46.9,19.14,11.48,4.87,0,76,1,8.114285714,4.015714286,0.428571429,7.66,0.599791014
