date,ward_id,supply_hours,pressure,demand,supply,complaints,pipe_breaks,tanker,scarcity
01/01/2024,W01,8.8,40.2,19.17,14.06,2.56,1,51,0
02/01/2024,W01,8.3,36.6,19.17,13.26,2.96,0,59,1
03/01/2024,W01,9,39.2,19.17,14.38,2.4,1,47,0
04/01/2024,W01,7.8,35.3,19.17,12.46,3.36,1,67,1
05/01/2024,W01,9.2,32.6,19.17,14.7,2.24,1,44,0
06/01/2024,W01,10.3,35.9,19.17,16.45,1.36,0,27,0
07/01/2024,W01,8.4,41.8,19.17,13.42,2.88,1,57,0
08/01/2024,W01,9.4,36.8,19.17,15.02,2.08,1,41,0
09/01/2024,W01,9.6,40.2,19.17,15.34,1.92,1,38,0
10/01/2024,W01,10.2,40.2,19.17,16.29,1.44,1,28,0
11/01/2024,W01,10.5,39.2,19.17,16.77,1.2,1,24,0
12/01/2024,W01,8.9,39.2,19.17,14.22,2.48,1,49,0
13/01/2024,W01,7.1,36.9,19.17,11.34,3.92,1,78,1
14/01/2024,W01,8.8,39.9,19.17,14.06,2.56,0,51,0
15/01/2024,W01,8.1,43.6,19.17,12.94,3.12,0,62,1
16/01/2024,W01,6.9,43.2,19.17,11.02,4.08,0,81,1
17/01/2024,W01,8.6,43,19.17,13.74,2.72,2,54,0
18/01/2024,W01,7.3,38.1,19.17,11.66,3.76,1,75,1
19/01/2024,W01,7.8,37.5,19.17,12.46,3.36,0,67,1
20/01/2024,W01,8.4,49.8,19.17,13.42,2.88,0,57,0
21/01/2024,W01,9.3,48.9,19.17,14.86,2.16,0,43,0
22/01/2024,W01,8.7,44.9,19.17,13.9,2.64,2,52,0
23/01/2024,W01,9.8,38.2,19.17,15.66,1.76,1,35,0
24/01/2024,W01,6.2,38.1,19.17,9.9,4.64,1,92,1
25/01/2024,W01,7.8,54,19.17,12.46,3.36,2,67,1
26/01/2024,W01,6.9,41.8,19.17,11.02,4.08,2,81,1
27/01/2024,W01,11.4,42.1,19.17,18.21,0.48,1,9,0
28/01/2024,W01,7.9,38.6,19.17,12.62,3.28,2,65,1
29/01/2024,W01,6.5,40.1,19.17,10.38,4.4,0,87,1
30/01/2024,W01,9.1,34.3,19.17,14.54,2.32,2,46,0
31/01/2024,W01,7.6,38.4,19.17,12.14,3.52,1,70,1
01/02/2024,W01,10.9,34,19.17,17.41,0.88,1,17,0
02/02/2024,W01,7.8,36.2,19.17,12.46,3.36,4,67,1
03/02/2024,W01,8.8,35,19.17,14.06,2.56,2,51,0
04/02/2024,W01,10.5,36.2,19.17,16.77,1.2,2,24,0
05/02/2024,W01,6.3,29.3,19.17,10.06,4.56,2,91,1
06/02/2024,W01,11.2,42,19.17,17.89,0.64,1,12,0
